"Instance  Ins.","Status  Sta.","Variables  Var.","Binaries  Bin.","Integers  Int.","Continuous  Con.","Constraints  Con.","Nonz.  Non.","Submitter  Sub.","Group  Gro.","Objective  Obj.","Tags  Tag."
"rail03","hard","758775","758775","0","0","253905","1728451","Thomas Schlechte","rail0","-867.093965444446","binary numerics aggregations variable_bound set_partitioning set_packing cardinality knapsack"
"rfds-4-days","open","2184028","190080","0","1993948","1766257","10464790","Dan Neiman","--","-1126397.23187544*","numerics aggregations mixed_binary general_linear"
"rocI-3-11","easy","5132","3894","762","476","8165","20540","Joerg Rambau","rocI","-50403","numerics aggregations precedence variable_bound set_partitioning mixed_binary general_linear"
"rpp22falsei","easy","25462","10276","15056","130","33269","56547","Gleb Belov","rpp","0","feasibility indicator numerics aggregations precedence variable_bound set_partitioning set_covering invariant_knapsack mixed_binary general_linear"
"s82","open","1690631","1690577","0","54","87878","7022608","Daniel Espinoza","Spinoza","-33.7852376465887*","numerics aggregations set_partitioning set_packing cardinality invariant_knapsack binpacking knapsack mixed_binary"
"shiftreg1-4","easy","10008","3912","0","6096","8136","29976","Domenico Salvagnin","shiftreg","132.66969396","decomposition numerics aggregations set_partitioning cardinality equation_knapsack binpacking knapsack mixed_binary"
"shiftreg2-7","hard","11404","4152","0","7252","8540","34900","Domenico Salvagnin","shiftreg","230.326187744737","decomposition numerics aggregations set_partitioning cardinality equation_knapsack binpacking knapsack mixed_binary"
"shiftreg5-1","open","48736","10608","0","38128","31424","157504","Domenico Salvagnin","shiftreg","522.1155479894853*","numerics aggregations set_partitioning cardinality equation_knapsack binpacking knapsack mixed_binary"
"shipschedule3shipsi","easy","10513","4817","4343","1353","16727","31243","Gleb Belov","shipschedule","-265650","indicator numerics aggregations precedence variable_bound set_partitioning invariant_knapsack integer_knapsack mixed_binary general_linear"
"shipschedule6shipsmixi","easy","18770","10310","7104","1356","27823","55903","Gleb Belov","shipschedule","-301650","indicator numerics aggregations precedence variable_bound set_partitioning invariant_knapsack integer_knapsack mixed_binary general_linear"
"shipschedule8shipsmixuci","easy","25206","13635","9763","1808","37821","75480","Gleb Belov","shipschedule","-389100","indicator numerics aggregations precedence variable_bound set_partitioning invariant_knapsack integer_knapsack mixed_binary general_linear"
"siena1","open","13741","11775","0","1966","2220","258915","Double-Click SAS","--","10359207.143918365*","numerics set_covering mixed_binary general_linear"
"snp-04-052-052","open","221438","4546","4546","212346","129662","459205","Gerald Gamrath","supplynetworkplanning","885202237.1881002*","numerics aggregations variable_bound mixed_binary general_linear"
"snp-06-004-052","open","328461","494","494","327473","183168","668716","Gerald Gamrath","supplynetworkplanning","1869531919.902*","numerics aggregations variable_bound mixed_binary general_linear"
"snp-10-004-052","open","538777","815","815","537147","300348","1097779","Gerald Gamrath","supplynetworkplanning","5906642865.78*","numerics aggregations variable_bound mixed_binary general_linear"
"snp-10-052-052","open","549021","11059","11059","526903","320836","1138755","Gerald Gamrath","supplynetworkplanning","6364531568.737051*","numerics aggregations variable_bound mixed_binary general_linear"
"splan1","open","1317382","90810","1978","1224594","572800","5233840","C. Helmberg, A. Lau","--","341753.132832921*","numerics aggregations variable_bound set_partitioning set_packing cardinality invariant_knapsack knapsack integer_knapsack mixed_binary general_linear"
"splice1k1i","hard","19513","6504","13009","0","22765","1780528","Gleb Belov","splice","-394","indicator numerics aggregations precedence variable_bound general_linear"
"stoch-vrpvrp-s5v2c8vrp-v2c8i","hard","8436","1485","734","6217","13813","26231","Gleb Belov","vrp","330","indicator numerics aggregations precedence variable_bound set_partitioning set_packing mixed_binary general_linear"
"supportcase1","easy","29999","29799","200","0","59997","189292","Michael Winkler","--","20078","numerics aggregations precedence invariant_knapsack binpacking knapsack general_linear"
"supportcase11","easy","8066286","8066286","0","0","15270211","32602332","Michael Winkler","--","-14.281996107","binary numerics aggregations variable_bound"
"supportcase21i","easy","27","24","3","0","7540","95325","Michael Winkler","--","20","indicator numerics set_covering invariant_knapsack general_linear"
"supportcase25","easy","6769","576","0","6193","6673","22825","Michael Winkler","--","0.04829280869043","decomposition numerics aggregations variable_bound mixed_binary"
"supportcase27i","easy","3185","912","1675","598","3912","7053","Michael Winkler","--","1330","indicator numerics aggregations precedence variable_bound set_partitioning mixed_binary general_linear"
"supportcase28i","easy","7560","24","7536","0","15073","93811","Michael Winkler","--","20","indicator numerics set_covering invariant_knapsack general_linear"
"supportcase31","open","488882","488760","0","122","26195","1833861","Domenico Salvagnin","--","-3720089.081*","decomposition numerics precedence set_packing invariant_knapsack knapsack mixed_binary"
"supportcase35","open","12941","576","0","12365","6334","29908","Domenico Salvagnin","--","-314.500022917186*","numerics precedence variable_bound mixed_binary"
"supportcase38","open","6296679","2505","0","6294174","4231124","15728584","Domenico Salvagnin","--","32873.9683458331*","numerics aggregations precedence variable_bound mixed_binary"
"ta1-UUM","easy","2288","0","605","1683","439","5654","MIPLIB submission pool","network_design","7518328.2","decomposition numerics aggregations mixed_binary general_linear"
"ta2-UUE","easy","9241","1188","0","8053","2687","26533","MIPLIB submission pool","network_design","37871728.59","numerics aggregations set_packing mixed_binary"
"Test3","easy","72215","33143","0","39072","50680","617867","MIPLIB submission pool","--","2673520.21135","numerics aggregations variable_bound set_partitioning binpacking knapsack mixed_binary"
"transportmoment","easy","9685","2456","0","7229","9616","29541","G. Gamrath","--","-3063103721.717","numerics aggregations variable_bound mixed_binary"
"uc720-7-4-4-8","easy","1405278","269009","0","1136269","4308353","11856350","Juan Javier Domínguez Moreno","--","Infeasible","infeasible numerics aggregations precedence variable_bound set_partitioning set_packing cardinality invariant_knapsack binpacking mixed_binary"
